datum;aantal;gemiddelde_temp
8/10/2018;720;10.51
9/10/2018;724;12.44
10/10/2018;718;16.18
11/10/2018;720;18.68
12/10/2018;718;19.03
13/10/2018;720;20.96
14/10/2018;720;19.99
15/10/2018;726;19.13
